station,asr_10,asr_11,asr_12,asr_13,asr_14,asr_15,wkd_10,wkd_11,wkd_12,wkd_13,wkd_14,wkd_15,wke_10,wke_11,wke_12,wke_13,wke_14,wke_15,uid,name,descriptio,riders_15,lexington,latitude,longitude,wkd_17_e
96 St Q subway,,,,,,,,,,,,,,,,,,,96stq,96 St,Q,,0,40.7841,-73.9472,66666
86 St Q subway,,,,,,,,,,,,,,,,,,,86stq,86 St,Q,,0,40.777861,-73.95175,66666
72 St Q subway,,,,,,,,,,,,,,,,,,,72stq,72 St,Q,,0,40.768889,-73.958333,66666
