FID,name,descriptio,riders_15,lexington,riders_17,POINT_X,POINT_Y
90,Whitlock Av,6* Closed for construction 	2/8/2010-9/13/2010,545079.000000000000000,0,545079.000000000000000,-73.886318200000005,40.826507700000001
91,Woodlawn,4,2418890.000000000000000,0,2418890.000000000000000,-73.878765099999995,40.885972899999999
92,Zerega Av,6* Closed for construction 7/5/2014-Present,492883.000000000000000,0,492883.000000000000000,-73.846879000000001,40.836573799999996
93,Morris Park,5,629282.000000000000000,0,629282.000000000000000,-73.860483200000004,40.854396700000002
94,18 Av,D* Closed for construction 	10/15/2011-10/24/2011,1925239.000000000000000,0,1925239.000000000000000,-74.001717600000006,40.607957900000002
95,18 Av,N,1784992.000000000000000,0,1784992.000000000000000,-73.990387900000002,40.620663100000002
96,20 Av,D,1592525.000000000000000,0,1592525.000000000000000,-73.998241399999998,40.604602000000000
97,20 Av,N,1279525.000000000000000,0,1279525.000000000000000,-73.984937700000003,40.617470699999998
98,25 Av,D,1508412.000000000000000,0,1508412.000000000000000,-73.986783000000003,40.597661700000003
99,25 St,R,1221949.000000000000000,0,1221949.000000000000000,-73.998069799999996,40.660457000000001
100,36 St,DNR,4138929.000000000000000,0,4138929.000000000000000,-74.003605800000003,40.655182900000000
101,45 St,R,2321241.000000000000000,0,2321241.000000000000000,-74.010043100000004,40.648996699999998
102,50 St,D,968612.000000000000000,0,968612.000000000000000,-73.994808199999994,40.636231799999997
103,53 St,R,2374338.000000000000000,0,2374338.000000000000000,-74.013948400000004,40.645121899999999
104,55 St,D,595157.000000000000000,0,595157.000000000000000,-73.995451900000006,40.631379199999998
105,59 St,NR,4158863.000000000000000,0,4158863.000000000000000,-74.017853700000003,40.641344599999996
106,7 Av,BQ,2980366.000000000000000,0,2980366.000000000000000,-73.972320600000003,40.677025399999998
107,71 St,D* Closed for construction 8/13/2011-10/28/2011,1487929.000000000000000,0,1487929.000000000000000,-73.998885200000004,40.619653300000003
108,77 St,R,1723178.000000000000000,0,1723178.000000000000000,-74.025578499999995,40.629783300000000
109,79 St,D,2043471.000000000000000,0,2043471.000000000000000,-74.000601799999998,40.613528899999999
110,8 Av,N,3796909.000000000000000,0,3796909.000000000000000,-74.011802700000004,40.635092000000000
111,86 St,N,859293.000000000000000,0,859293.000000000000000,-73.978156999999996,40.592675900000003
112,86 St,R,3747601.000000000000000,0,3747601.000000000000000,-74.028453799999994,40.622780400000003
113,9 Av,D,1843944.000000000000000,0,1843944.000000000000000,-73.994336099999998,40.646228999999998
114,Alabama Av,J,814578.000000000000000,0,814578.000000000000000,-73.898591999999994,40.676992900000002
115,Atlantic Av-Barclays,BQ2345,13690678.000000000000000,0,13690678.000000000000000,-73.976869600000001,40.684413100000000
116,Atlantic Av,L*,422505.000000000000000,0,422505.000000000000000,-73.902883500000002,40.675821200000001
117,Ave H,"Q* Closed for construction 9/28/2009-9/13/2010, 9/27/2010-9/12/2011",899662.000000000000000,0,899662.000000000000000,-73.961634599999996,40.629294700000003
118,Ave I,F,672710.000000000000000,0,672710.000000000000000,-73.976140000000001,40.625353599999997
119,Ave J,Q,1848674.000000000000000,0,1848674.000000000000000,-73.960862199999994,40.625060499999996
120,Ave M,"Q* Closed for construction 9/28/2009-9/13/2010, 9/27/2010-9/12/2011",1733583.000000000000000,0,1733583.000000000000000,-73.959317200000001,40.617601000000001
121,Ave N,F,1027713.000000000000000,0,1027713.000000000000000,-73.974165900000003,40.615255500000004
122,Ave P,F,858733.000000000000000,0,858733.000000000000000,-73.972964200000007,40.608967900000003
123,Ave U,F,716715.000000000000000,0,716715.000000000000000,-73.973307599999998,40.596097499999999
124,Ave U,N,1253349.000000000000000,0,1253349.000000000000000,-73.979186999999996,40.597433600000002
125,Ave U,"Q* Closed for construction 9/28/2009-9/13/2010, 9/27/2010-9/12/2011",2231577.000000000000000,0,2231577.000000000000000,-73.955883999999998,40.599225699999998
126,Bay 50 St,D,872953.000000000000000,0,872953.000000000000000,-73.983778999999998,40.588928199999998
127,Bay Parkway,D,2368617.000000000000000,0,2368617.000000000000000,-73.993735299999997,40.601832500000000
128,Bay Parkway,F,460536.000000000000000,0,460536.000000000000000,-73.975281699999996,40.620760799999999
129,Bay Parkway,N,2298369.000000000000000,0,2298369.000000000000000,-73.981761899999995,40.611867400000001
