FID,name,descriptio,riders_15,lexington,riders_17,POINT_X,POINT_Y
290,57 St,F,4720245.000000000000000,0,4720245.000000000000000,-73.977212899999998,40.764340099999998
291,57 St-7 Av,NQR,9512090.000000000000000,0,9512090.000000000000000,-73.980045300000000,40.765542699999997
292,59 St-Columbus Circle,ABCD1,23299666.000000000000000,0,23299666.000000000000000,-73.981718999999998,40.768289199999998
293,66 St-Lincoln Center,1,7790234.000000000000000,0,7790234.000000000000000,-73.982234000000005,40.773424400000003
294,68 St-Hunter College,6,10237854.000000000000000,1,8906932.980000000400000,-73.964059399999996,40.767817899999997
295,7 Av,BDE,5252615.000000000000000,0,5252615.000000000000000,-73.982019399999999,40.762958599999997
296,72 St,123,13341361.000000000000000,0,13341361.000000000000000,-73.981933600000005,40.778591599999999
297,72 St,BC,2979236.000000000000000,0,2979236.000000000000000,-73.975989799999994,40.776219300000001
298,77 St,6,11014861.000000000000000,1,9582929.070000000300000,-73.959875100000005,40.773651899999997
299,79 St,1,5534255.000000000000000,0,5534255.000000000000000,-73.979959500000007,40.783872199999998
300,81 St-Museum of Natural History,BC,4584041.000000000000000,0,4584041.000000000000000,-73.971762699999999,40.782052499999999
301,8 St-NYU,NR,5894747.000000000000000,0,5894747.000000000000000,-73.992426399999999,40.730584100000002
302,86 St,1,6464625.000000000000000,0,6464625.000000000000000,-73.976590599999994,40.788323800000001
303,86 St,456,20890828.000000000000000,1,18175020.359999999000000,-73.955605000000006,40.779468999999999
304,96 St,123,13008596.000000000000000,0,13008596.000000000000000,-73.971827000000005,40.794675800000000
305,96 St,6,8294978.000000000000000,1,7216630.860000000300000,-73.950991599999995,40.785903099999999
306,96 St,BC,3084906.000000000000000,0,3084906.000000000000000,-73.964703099999994,40.791654200000004
307,Astor Pl,6,5447655.000000000000000,1,4739459.849999999600000,-73.991095999999999,40.730055600000000
308,Bowery,JZ,1184920.000000000000000,0,1184920.000000000000000,-73.993906999999993,40.720266100000003
309,Bowling Green,45,9153462.000000000000000,1,7963511.940000000400000,-74.014098599999997,40.704814599999999
310,Broad St,JZ *Closed for construction 10/29/2012-12/4/2012,1662905.000000000000000,0,1662905.000000000000000,-74.011073100000004,40.706473799999998
311,Broadway-Lafayette St,BDFM,12666868.000000000000000,0,12666868.000000000000000,-73.996181500000006,40.725291100000000
312,Bleecker St,6,12666868.000000000000000,1,11020175.160000000000000,-73.994658000000001,40.725909100000003
313,Brooklyn Bridge-City Hall-Chambers St,456JZ,10481576.000000000000000,1,9118971.119999999200000,-74.004142299999998,40.713093800000003
314,Canal St,1,1830920.000000000000000,0,1830920.000000000000000,-74.006309500000000,40.722868099999999
315,Canal St,ACE,6011243.000000000000000,0,6011243.000000000000000,-74.005236600000003,40.720851600000003
316,Canal St,JNQZ6,15094135.000000000000000,1,13131897.449999999000000,-74.000473000000000,40.718395899999997
317,Canal St,R,15094135.000000000000000,0,15094135.000000000000000,-74.001867799999999,40.719420399999997
318,Cathedral Pkwy-110 St,1,4280482.000000000000000,0,4280482.000000000000000,-73.966698699999995,40.804194600000002
319,Cathedral Pkwy-110 St,BC,2376166.000000000000000,0,2376166.000000000000000,-73.958179999999999,40.800572299999999
320,Central Park North-110 St,23,3188551.000000000000000,0,3188551.000000000000000,-73.952493700000005,40.798265800000003
321,Chambers St,123,7054771.000000000000000,0,7054771.000000000000000,-74.009227800000005,40.715484699999998
322,Chambers St,AC,16910084.000000000000000,0,16910084.000000000000000,-74.007929599999997,40.714939800000003
323,Park Pl,23,16910084.000000000000000,0,16910084.000000000000000,-74.008798600000006,40.713020600000000
324,Christopher St-Sheridan Sq,1,3363949.000000000000000,0,3363949.000000000000000,-74.002940699999996,40.733437700000003
325,City Hall,NR* Closed for construction 10/29/2012-12/3/2012,1828806.000000000000000,0,1828806.000000000000000,-74.006985400000005,40.713289000000003
326,Cortlandt St,1,0.000000000000000,0,0.000000000000000,-74.012210400000001,40.711792600000003
327,Cortlandt St,NR* Closed for construction 10/29/2012-12/3/2012,2713532.000000000000000,0,2713532.000000000000000,-74.011180400000001,40.710385700000003
328,Delancey St-Essex St,FMJZ,8226975.000000000000000,0,8226975.000000000000000,-73.988177800000003,40.718574799999999
329,Dyckman St,"1* Closed for construction 10/18/2010-8/15/2011, 8/15/2011-6/18/2012",2317843.000000000000000,0,2317843.000000000000000,-73.925542800000002,40.860515200000002
330,Dyckman St,A,2244154.000000000000000,0,2244154.000000000000000,-73.927302400000002,40.865529600000002
331,Inwood-207 St,A,3068931.000000000000000,0,3068931.000000000000000,-73.919856499999995,40.868109699999998
332,Marble Hill-225 St,"1* Closed for construction 8/29/2011-10/10/2011, 4/2/2012-5/18/2012",1809998.000000000000000,0,1809998.000000000000000,-73.909878699999993,40.874518899999998
333,East Broadway,F,4576662.000000000000000,0,4576662.000000000000000,-73.990216300000000,40.713988399999998
334,Franklin St,1,1731354.000000000000000,0,1731354.000000000000000,-74.006974700000001,40.719127700000001
335,Fulton St,45,21671684.000000000000000,1,18854365.079999998000000,-74.009109699999996,40.710922400000001
336,Fulton St,ACJZ,21671684.000000000000000,0,21671684.000000000000000,-74.007725699999995,40.710206800000002
337,Fulton St,23,21671684.000000000000000,0,21671684.000000000000000,-74.006411400000005,40.709560199999999
338,Grand Central-42 St,4567S,46737564.000000000000000,1,40661680.680000000000000,-73.976805200000001,40.751776000000000
339,Grand St,BD,8010864.000000000000000,0,8010864.000000000000000,-73.993778199999994,40.718282000000002
340,Harlem-148 St,3,1269910.000000000000000,0,1269910.000000000000000,-73.936486200000004,40.823828499999998
341,Houston St,1,4377409.000000000000000,0,4377409.000000000000000,-74.005365400000002,40.728592200000001
342,Lexington Av-59 St,NQR456,21407792.000000000000000,1,18624779.039999999000000,-73.967728600000001,40.762828599999999
343,Lexington Av-53 St,EM,20479923.000000000000000,0,20479923.000000000000000,-73.971011599999997,40.758359100000000
344,51 St,6,20479923.000000000000000,1,17817533.010000002000000,-73.971977199999998,40.757107499999996
345,Lexington Av-63 St,F,4718159.000000000000000,0,4718159.000000000000000,-73.966376800000006,40.764730100000001
346,Prince St,NR,5386641.000000000000000,0,5386641.000000000000000,-73.997747899999993,40.724282899999999
347,Rector St,1,3042815.000000000000000,0,3042815.000000000000000,-74.013648000000003,40.707954000000001
348,Rector St,R* Closed for construction 	10/29/2012-12/3/2012,1896968.000000000000000,0,1896968.000000000000000,-74.012950700000005,40.707775099999999
349,Roosevelt Island,F,1966493.000000000000000,0,1966493.000000000000000,-73.953266099999993,40.759123000000002
350,South Ferry,1* Closed for construction 10/29/2012-12/3/2012,8750364.000000000000000,0,8750364.000000000000000,-74.013176000000001,40.701382299999999
351,Whitehall St,NR* Closed for construction 10/29/2012-12/3/2012,8750364.000000000000000,0,8750364.000000000000000,-74.012832599999996,40.702423400000001
352,Wall St,45,6708745.000000000000000,1,5836608.150000000400000,-74.011845600000001,40.707514799999998
353,Wall St,23,7650853.000000000000000,0,7650853.000000000000000,-74.009463800000006,40.706384300000003
354,Spring St,6,3804403.000000000000000,1,3309830.609999999900000,-73.997147100000007,40.722282700000001
355,Spring St,CE,3782314.000000000000000,0,3782314.000000000000000,-74.004035000000002,40.725535100000002
356,Times St-42 St,NQRS1237,66359208.000000000000000,0,66359208.000000000000000,-73.986740100000006,40.755953499999997
357,42 St-PABT,ACE,66359208.000000000000000,0,66359208.000000000000000,-73.989819299999994,40.757229400000000
358,W4 St-Washington Sq,ABCD,14147148.000000000000000,0,14147148.000000000000000,-74.000955800000000,40.731697900000000
359,103 St-Corona Plaza,7,6527196.000000000000000,0,6527196.000000000000000,-73.862671899999995,40.749955399999997
360,104 St,"A* Closed for construction 5/12/2014-9/29/2014, 10/13/2014-2/2/2015",538400.000000000000000,0,538400.000000000000000,-73.837695100000005,40.681646899999997
361,104 St,JZ,841545.000000000000000,0,841545.000000000000000,-73.844389899999996,40.695216600000002
362,111 St,7,3699843.000000000000000,0,3699843.000000000000000,-73.855826899999997,40.751564700000003
363,111 St,"A* Closed for construction 5/12/2014-9/29/2014, 10/13/2014-2/2/2015",767647.000000000000000,0,767647.000000000000000,-73.832201999999995,40.684315499999997
364,111 St,J,812055.000000000000000,0,812055.000000000000000,-73.836364700000004,40.697412900000003
365,121 St,JZ,788674.000000000000000,0,788674.000000000000000,-73.828275199999993,40.700503800000000
366,169 St,F,2858542.000000000000000,0,2858542.000000000000000,-73.793578100000005,40.710442600000000
367,21 St-Queensbridge,F,2884831.000000000000000,0,2884831.000000000000000,-73.942365600000002,40.753986699999999
368,30 Av,NQ,4745260.000000000000000,0,4745260.000000000000000,-73.921465900000001,40.766826600000002
369,33 St,7,3712153.000000000000000,0,3712153.000000000000000,-73.931036000000006,40.744590899999999
370,36 Av,NQ,2394564.000000000000000,0,2394564.000000000000000,-73.929534000000004,40.756815000000003
371,36 St,MR,1339754.000000000000000,0,1339754.000000000000000,-73.928761499999993,40.752036099999998
372,39 Av,NQ,1072026.000000000000000,0,1072026.000000000000000,-73.932731200000006,40.752897599999997
373,40 St,7,3421569.000000000000000,0,3421569.000000000000000,-73.924040800000000,40.743761800000001
374,46 St,MR,2956981.000000000000000,0,2956981.000000000000000,-73.913333399999999,40.756343600000001
375,46 St,7,4593351.000000000000000,0,4593351.000000000000000,-73.918461800000003,40.743111499999998
376,52 St,7,2177884.000000000000000,0,2177884.000000000000000,-73.912539499999994,40.744151899999999
377,63 Dr - Rego Park,MR,5244226.000000000000000,0,5244226.000000000000000,-73.861641899999995,40.729860500000001
378,65 St,MR,1192281.000000000000000,0,1192281.000000000000000,-73.898463199999995,40.749630300000000
379,67 Av,MR,2853794.000000000000000,0,2853794.000000000000000,-73.852715500000002,40.726575799999999
380,69 St,7,1629526.000000000000000,0,1629526.000000000000000,-73.896403300000003,40.746379099999999
381,74 St-Broadway/Jackson Heights-Roosevelt Av,7EFMR,17224537.000000000000000,0,17224537.000000000000000,-73.891382199999995,40.746704200000003
382,75 Av,EF,1136305.000000000000000,0,1136305.000000000000000,-73.837266000000000,40.718379599999999
383,75 St-Elderts Ln,JZ,1196186.000000000000000,0,1196186.000000000000000,-73.867135000000005,40.691311900000002
384,80 St,"A* Closed for construction 5/12/2014-9/29/2014, 10/13/2014-2/2/2015",1465264.000000000000000,0,1465264.000000000000000,-73.858981099999994,40.679401300000002
385,82 St-Jackson Heights,7,5128506.000000000000000,0,5128506.000000000000000,-73.883657499999998,40.747712100000001
386,85 St-Forest Parkway,J,1239793.000000000000000,0,1239793.000000000000000,-73.860032599999997,40.692450800000003
387,88 St,"A* Closed for construction 5/12/2014-9/29/2014, 10/13/2014-2/2/2015",1011163.000000000000000,0,1011163.000000000000000,-73.851492399999998,40.679840700000000
388,90 St-Elmhurst Av,7,5489630.000000000000000,0,5489630.000000000000000,-73.876662300000007,40.748427399999997
389,Aqueduct Racetrack,A*Station expanded to full service in 2013,672734.000000000000000,0,672734.000000000000000,-73.835892599999994,40.672208300000001
390,Aqueduct-N Conduit Av,A,365488.000000000000000,0,365488.000000000000000,-73.834047299999995,40.668220900000001
391,Astoria Blvd,NQ,3926062.000000000000000,0,3926062.000000000000000,-73.917882399999996,40.770271800000003
392,Astoria-Ditmars Blvd,NQ,5407027.000000000000000,0,5407027.000000000000000,-73.912046000000004,40.775049299999999
393,Broadway,NQ,4300632.000000000000000,0,4300632.000000000000000,-73.925585699999999,40.761788500000002
394,Beach 105 St,AS*Station Closed 10/12-5/13,99254.000000000000000,0,99254.000000000000000,-73.827567099999996,40.583224700000002
395,Beach 25 St,A*Station Closed 10/12-5/13,570312.000000000000000,0,570312.000000000000000,-73.761305800000002,40.600072900000001
396,Beach 36 St,A*Station Closed 10/12-5/13,296860.000000000000000,0,296860.000000000000000,-73.768258099999997,40.595445800000000
397,Beach 44 St,A*Station Closed 10/12-5/13,197543.000000000000000,0,197543.000000000000000,-73.775982900000002,40.592969199999999
398,Beach 60 St,A*Station Closed 10/12-5/13,801015.000000000000000,0,801015.000000000000000,-73.788557100000006,40.592317399999999
399,Beach 67 St,A*Station Closed 10/12-5/13,799134.000000000000000,0,799134.000000000000000,-73.796882600000004,40.590948699999998
400,Beach 90 St,AS*Station Closed 10/12-5/13,333006.000000000000000,0,333006.000000000000000,-73.813705400000003,40.588015599999999
401,Beach 98 St,AS*Station Closed 10/12-5/13,214040.000000000000000,0,214040.000000000000000,-73.820528999999993,40.585245399999998
402,Far Rockaway-Mott Av,A*Station Closed 10/12-5/13,1576988.000000000000000,0,1576988.000000000000000,-73.755469300000001,40.604015500000003
403,Broad Channel,AS*Station Closed 10/12-5/13,91766.000000000000000,0,91766.000000000000000,-73.815937000000005,40.608446600000001
404,Rockaway Park-Beach 116 St,AS*Station Closed 10/12-5/13,255542.000000000000000,0,255542.000000000000000,-73.835592300000002,40.580910600000003
405,Briarwood-Van Wyck Blvd,EF,1479278.000000000000000,0,1479278.000000000000000,-73.820657699999998,40.709238999999997
406,Elmhurst Av,MR,4350714.000000000000000,0,4350714.000000000000000,-73.882069599999994,40.742412399999999
407,Flushing-Main St,7,19082391.000000000000000,0,19082391.000000000000000,-73.829970399999993,40.759610600000002
408,Forest Hills-71 Av,EFMR,8654547.000000000000000,0,8654547.000000000000000,-73.844518699999995,40.721729799999999
409,Fresh Pond Rd,M,1806429.000000000000000,0,1806429.000000000000000,-73.895888299999996,40.706213499999997
410,Grand Av-Newtown,MR,5995764.000000000000000,0,5995764.000000000000000,-73.877306000000004,40.737047300000000
411,Howard Beach-JFK Airport,A,1041816.000000000000000,0,1041816.000000000000000,-73.830184900000006,40.660522100000001
412,Hunters Point Av,7,1848769.000000000000000,0,1848769.000000000000000,-73.948845899999995,40.742217300000000
413,Jamaica Center-Parsons Av,EJZ,12622977.000000000000000,0,12622977.000000000000000,-73.801088300000004,40.702163100000000
414,Sutphin Blvd-Archer Av-JFK Airport,EJZ,7767728.000000000000000,0,7767728.000000000000000,-73.807933300000002,40.700471299999997
415,Jamaica-179 St,F,6898938.000000000000000,0,6898938.000000000000000,-73.783750499999996,40.712654700000002
416,Jamaica-Van Wyck,E,1545016.000000000000000,0,1545016.000000000000000,-73.816924099999994,40.702602300000002
417,Junction Blvd,7,7064435.000000000000000,0,7064435.000000000000000,-73.869452499999994,40.749142700000000
418,Kew Gardens-Union Turnpike,EF,8354731.000000000000000,0,8354731.000000000000000,-73.831043199999996,40.714411200000001
419,Mets-Willets Point,7,2120859.000000000000000,0,2120859.000000000000000,-73.845591499999998,40.754636900000001
420,Middle Village-Metropolitan Av,M,1361246.000000000000000,0,1361246.000000000000000,-73.889579800000007,40.711418500000001
421,Northern Blvd,MR,2282296.000000000000000,0,2282296.000000000000000,-73.906059299999995,40.752913900000003
422,Ozone Park-Lefferts Blvd,A,2224331.000000000000000,0,2224331.000000000000000,-73.825893399999998,40.686040300000002
423,Parsons Blvd,F,2094007.000000000000000,0,2094007.000000000000000,-73.803319900000005,40.707612400000002
424,Queens Plaza,EMR,3101888.000000000000000,0,3101888.000000000000000,-73.937215800000004,40.748980099999997
425,Queensboro Plaza,NQ7,3773168.000000000000000,0,3773168.000000000000000,-73.940262799999999,40.750605700000001
426,Rockaway Blvd,"A* Closed for construction 5/12/2014-9/29/2014, 10/13/2014-2/2/2015",1729268.000000000000000,0,1729268.000000000000000,-73.843810599999998,40.680442800000002
427,Seneca Av,M,842069.000000000000000,0,842069.000000000000000,-73.907732999999993,40.702732500000003
428,Steinway,MR,4779346.000000000000000,0,4779346.000000000000000,-73.920779199999998,40.756880000000002
429,Sutphin Blvd,F,1506607.000000000000000,0,1506607.000000000000000,-73.810744299999996,40.705432700000003
430,Vernon Blvd-Jackson Av,7,4462652.000000000000000,0,4462652.000000000000000,-73.953566600000002,40.742640000000002
431,Woodhaven Blvd,JZ,1551590.000000000000000,0,1551590.000000000000000,-73.851556799999997,40.693915099999998
432,Woodhaven Blvd,MR,7120037.000000000000000,0,7120037.000000000000000,-73.869323699999995,40.733145000000000
433,Woodside-61 St,7,5432682.000000000000000,0,5432682.000000000000000,-73.902969400000003,40.745761399999999
434,Ave X,F* Closed for construction,589962.000000000000000,0,589962.000000000000000,-73.974208800000000,40.589677700000003
435,34 St-Hudson Yards,7* Opened 2014,692165.000000000000000,0,692165.000000000000000,-74.001953599999993,40.755742200000000
