station,asr_10,asr_11,asr_12,asr_13,asr_14,asr_15,wkd_10,wkd_11,wkd_12,wkd_13,wkd_14,wkd_15,wke_10,wke_11,wke_12,wke_13,wke_14,wke_15,uid,name,descriptio,riders_15,lexington,latitude,longitude,wkd_17_e
Pennsylvania Av 3 subway,1805195.0,1805956.0,1690851.0,1752108.0,1746438.0,2111790.0,5800.0,5798.0,5696.0,5675.0,5718.0,6997.0,5948.0,6085.0,4783.0,5577.0,5303.0,5902.0,pennsylvaniaav3,Pennsylvania Av,3,2111790.0,0,40.6645914,-73.8949013,6997.0
President St  2 subway 5 subway,1130601.0,1133831.0,1142008.0,1216019.0,1221048.0,1243976.0,3731.0,3754.0,3815.0,3969.0,4092.0,4120.0,3232.0,3239.0,3395.0,3745.0,3255.0,3520.0,presidentst25,President St,25,1243976.0,0,40.6679117,-73.9506912,4120.0
Prince St  N subway R subway,5146546.0,5603783.0,5508110.0,5209433.0,5311765.0,5386641.0,14826.0,16223.0,16344.0,15261.0,15404.0,15597.0,25339.0,27581.0,25952.0,24428.0,25668.0,26154.0,princestnr,Prince St,NR,5386641.0,0,40.7242829,-73.9977479,15597.0
Prospect Av  2 subway 5 subway,2326054.0,2209945.0,2125066.0,2311798.0,2445131.0,2394820.0,7551.0,7212.0,7053.0,7424.0,7857.0,7908.0,7440.0,6950.0,6521.0,7683.0,8085.0,6935.0,prospectav25,Prospect Av,25,2394820.0,0,40.8196229,-73.9017248,7908.0
Prospect Av  R subway,1863247.0,1930101.0,1864725.0,1826064.0,1827271.0,1785990.0,6006.0,6230.0,6147.0,5934.0,5943.0,5896.0,6192.0,6449.0,6018.0,5806.0,5792.0,5240.0,prospectavr,Prospect Av,R,1785990.0,0,40.6654378,-73.9929199,5896.0
Prospect Park  B subway Q subway S subway,2867309.0,2815199.0,2892200.0,3190679.0,3312727.0,3327301.0,8496.0,8557.0,9024.0,9761.0,9715.0,10033.0,12943.0,11787.0,11561.0,12864.0,15404.0,14105.0,prospectparkbqs,Prospect Park,BQS,3327301.0,0,40.661629,-73.9623642,10033.0
Queensboro Plaza N subway Q subway 7 subway,2813789.0,3047146.0,3350219.0,3569290.0,3785260.0,3773168.0,8916.0,9577.0,10752.0,11132.0,11554.0,11786.0,10074.0,11545.0,12254.0,13610.0,15734.0,14352.0,queensboroplazanq7,Queensboro Plaza,NQ7,3773168.0,0,40.7506057,-73.9402628,11786.0
Queens Plaza  E subway M subway R subway,2408523.0,2550906.0,2747366.0,2855006.0,3005223.0,3101888.0,8370.0,8869.0,9695.0,9696.0,10125.0,10475.0,5246.0,5580.0,6051.0,7189.0,7987.0,8111.0,queensplazaemr,Queens Plaza,EMR,3101888.0,0,40.7489801,-73.9372158,10475.0
Ralph Av  C subway,1529747.0,1585546.0,1625548.0,1719602.0,1787157.0,1867793.0,4840.0,5007.0,5175.0,5381.0,5570.0,5796.0,5407.0,5750.0,6042.0,6391.0,6719.0,7162.0,ralphavc,Ralph Av,C,1867793.0,0,40.678848,-73.920908,5796.0
Rector St  1 subway,2366733.0,2636681.0,3055453.0,3398383.0,3393420.0,3042815.0,8165.0,8902.0,10065.0,11323.0,10869.0,10625.0,5285.0,6852.0,9776.0,9328.0,11503.0,6098.0,rectorst1,Rector St,1,3042815.0,0,40.707954,-74.013648,10625.0
